"chTypeApprovalNumber";"VehicleType";"versionNo";"definitive";"chVehicleType";"chVehicleSubType";"vehicleCategoryCode";"makeCode";"makeName";"commercialName";"type";"variant";"version";"chVinPrefix";"chVehicleBodyFormCode";"chIsOffRoadVehicle";"typeApprovalNumber";"typeApprovalNumberExtFrom";"typeApprovalNumberExtTo";"manufacturerNameAndAdresse";"placeOfManufacture";"locationOfTheManufacturerPlate";"locationOfTheVin";"identificationRemarks";"numberOfAxles";"numberOfWheels";"axlesAndWheelsRemarks";"gearboxEmissions1.chGearboxType";"gearboxEmissions2.chGearboxType";"maximumSpeedFrom";"maximumSpeedTo";"mainBrakeType";"secondaryBrakeType";"parkingBrakeType";"chassisGearboxBrakesRemarks";"manufacturerOfTheEngine";"engineType";"chWorkingPrinciple";"offVehicleChargingIndex";"chFuelType";"stroke";"numberOfCylinders";"engineCapacity";"maximumNetPower";"engineSpeedMaximumNetPower";"maximumContinuousRatedPower";"maximumTorque";"engineSpeedMaximumTorque";"exhaustEmissionTreatmentType";"exhaustEmissionTreatmentRemarks";"mufflerType1";"mufflerRemark1";"mufflerType2";"mufflerRemark2";"mufflerType3";"mufflerRemark3";"chEngineCodeAsMarkedOnTheEngine";"chLocationOfEngineCode1";"chLocationOfEngineCode2";"soundInsulationEngineCompartment";"engineRemarks";"chParkingStand";"chAntiTheftDevice";"chSpecialEquipment";"lengthMinimum";"lengthMaximum";"widthMinimum";"widthMaximum";"heightMinimum";"heightMaximum";"chFrontOverhangMinimum";"chFrontOverhangMaximum";"rearOverhangMinimum";"rearOverhangMaximum";"axleSpacingMinimum12";"axleSpacingMaximum12";"axleTrackMinimum1";"axleTrackMaximum1";"tyreAxleTrackMinimum1";"tyreAxleTrackMaximum1";"axleTrackMinimum2";"axleTrackMaximum2";"tyreAxleTrackMinimum2";"tyreAxleTrackMaximum2";"vehicleDimensionsRemarks";"chEmptyWeightMinimum";"chEmptyWeightMaximum";"techPermMaxLadenMassMin";"techPermMaxLadenMassMax";"chTechnicallyPermMassAxle1";"chTechnicallyPermMassAxle2";"chTechnicallyPermMassAxle3";"chTowableMassesBoolean";"chTechPermTowMassBrakedTrail";"chTechPermTowMassUnbrTrailer";"chSideCarUse";"permissibleWeightAndMassesRemarks";"chTyreRims";"tyreRimsRemarks";"chRemarks";"chRemarksAddendum1";"chRemarksAddendum2";"chRemarksAddendum3";"chRemarksAddendum4";"chRemarksAddendum5";"dateOfApproval";"dateOfLastChange";"changingPositions";"cancelationDate";"reasonOfCancelation";"dateOfApprovalExpiry";"reasonOfApprovalExpiry";"sourceChTypeApprovalNumber";"sourceChTypeApprovalNumberParallel";"goodToPrint";"techTypeAdditionalInformation";"exhaustRegNr";"smokeRegNr";"soundRegNr";"consumptionRegNr";"brakeRegNr";"businessId"
"6AA101";"Motorrad";"0";"1996-03-21";"60";;;"3265";"APRILIA";"Rally 50";"MD04";;;"ZD4MD04..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"61";;"hydr., Scheibe (gelocht), auf Vorderrad
mech., Trommel, auf Hinterrad";;;;"MINARELLI";"5MYAP";"Monoblock";FALSE;"B";"2";"1";"49";"3,70";"6250";;"6,10";"5300";"K";"1/in Schalldämpfer 'MD04' integriert";"HS";"1/MD04";;;;;"5MYAP";;"hinten links oben auf Motor/Getriebegehäuse";;;"Zentralständer";"Lenkersperre";;"1860";;"700";;"1140";;"230";;"380";;"1250";;;;;;;;;;;"165";;"271";;;;;TRUE;;;;;"v=120/90-10; 10x3.50 LM-Integral
h=130/90-10; 10x3.50 LM-Integral";;"31) Kotflügelverlängerung hinten erforderlich
";;;;;;"1996-03-21";;;;;"2003-09-30";"Z";;;"1996-03-21";"MD04";"40017";"NA";"60349";;"NA";
"6AA102";"Motorrad";"0";"2009-01-12";"61";;;"3265";"APRILIA";"Rally 50";"MD04 / 45 km/h";;;"ZD4MD04..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"45";;"hydr., Scheibe (gelocht), auf Vorderrad
mech., Trommel, auf Hinterrad";;;;"MINARELLI";"F5MYAP";"Monoblock";FALSE;"B";"2";"1";"49";"3,70";"6250";;"6,10";"5300";"K";"1/in Schalldämpfer 'MD04' integriert";"HS";"1/MD04";;;;;"F5MYAP";;"hinten links oben auf Motor/Getriebegehäuse";;;"Zentralständer";"Lenkersperre";;"1860";;"700";;"1140";;"230";;"380";;"1250";;;;;;;;;;;"165";;"271";;;;;TRUE;;;;;"v=120/90-10; 10x3.50 LM-Integral
h=130/90-10; 10x3.50 LM-Integral";;"31) Kotflügelverlängerung hinten erforderlich
";;;;;;"1996-03-21";"2009-01-12T00:00:00.001Z";"118";;;"2003-09-30";"Z";;;"2009-01-12";"MD04 / 45 km/h";"40018";"NA";"60417";;"NA";
"6AA103";"Motorrad";"0";"1996-03-28";"60";;;"3265";"APRILIA";"Leonardo 125";"MB01";;;"ZD4MB01..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"hinten, rechts über Hinterrad zwischen den Federbeinen";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"100";;"hydr., Scheibe (gelocht), auf VR(rechts)
hydr., Scheibe (gelocht), auf HR(links)";;;;"ROTAX";"120";"Monoblock";FALSE;"B";"4";"1";"125";"9,00";"8800";;"10,50";"7000";;;"HS";"1/MBe9*78/1015*89/235*0075*00";;;;;"120";"links, hinten oben auf";"Motor-/Getriebegehäuse";"Resonator vor Luftfilter, durchströmt";;"Zentral- + Seitenständer";"Lenkersperre";;"1940";;"750";;"1200";;"245";;"370";;"1325";;;;;;;;;;;"211";;"316";;;;;TRUE;;;FALSE;;"v=130/70-12; 12x3.00 LM-Integral
h=140/70-12; 12x3.50 LM-Integral";;;;;;;;"1996-03-28";;;;;"2003-09-30";"Z";;;"1996-03-28";"MB01";"40032";"NA";"60478";;"NA";
"6AA104";"Motorrad";"0";"1996-05-15";"60";;;"3265";"APRILIA";"Moto 6.5";"MH00";;;"ZD4MH00..........";;FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"vorn, am Rahmenrohr";"rechts, am Lenkkopf";;"2";"2";;"m5";;"150";;"hydr.,Scheibe gelocht,auf VR";"hydr.,Scheibe gelocht,auf HR";;;"ROTAX";"65AP";"Monoblock";FALSE;"B";"4";"1";"650";"30,66";"6250";;"51,50";"4500";;;"HS";"1/MH-e1 78/1015-0312";;;;;"65AP";;"hinten oben auf Motorgehäuse";;;"Seitenständer";"Lenkerschloss";"--";"2235";;"830";;"1170";;"320";;"445";;"1470";;;;;;;;;;;"260";;"365";;;;;TRUE;;;FALSE;;"v= 100/90-18; 2.15x18 LM mit Stahlspeichen
h= 130/90-17; 3.00x17 LM mit Stahlspeichen";;"32) mit elektrischer Sicherheitsvorrichtung
";;;;;;"1996-05-15";;;;;"2003-09-30";"Z";;;"1996-05-15";"MH00";"40025";"NA";"60671";;"NA";
"6AA105";"Motorrad";"0";"1996-12-03";"60";;;"3265";"APRILIA";"Gulliver 50";"MHD0";;;"ZD4LHD0..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"unter Frontverschalung auf Lenkkopf";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"60";;"hydr., Scheibe (gelocht), auf Vorderrad
mech., Trommel, auf Hinterrad";;;;"MINARELLI";"9MY-AP";"Monoblock";FALSE;"B";"2";"1";"49";"3,40";"6250";;"5,20";"5875";"K";"1/in Schalldämpfer 'MD04' integriert";"HS";"1/MD04";;;;;"9MY-AP";;"hinten links oben auf Motor/Getriebegehäuse";;;"Zentralständer";"Lenkersperre";;"1840";;"690";;"1120";;"230";;"340";;"1270";;;;;;;;;;;"170";;"275";;"92";"195";;TRUE;;;;;"120/70-12; 12x3.00 LM-Integral";;;;;;;;"1996-12-03";;;;;"2003-09-30";"Z";;;"1996-12-03";"MHD0";"40093";"NA";"61561";;"NA";
"6AA106";"Motorrad";"0";"2009-01-13";"61";;;"3265";"APRILIA";"Gulliver 50";"MHD0";;;"ZD4LHD0..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"unter Frontverschalung auf Lenkkopf";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"45";;"hydr., Scheibe (gelocht), auf Vorderrad
mech., Trommel, auf Hinterrad";;;;"MINARELLI";"F9MY-AP";"Monoblock";FALSE;"B";"2";"1";"49";"3,40";"6250";;"5,20";"5875";"K";"1/in Schalldämpfer 'MD04' integriert";"HS";"1/MD04";;;;;"F9MY-AP";;"hinten links oben auf Motor/Getriebegehäuse";;;"Zentralständer";"Lenkersperre";;"1840";;"690";;"1120";;"230";;"340";;"1270";;;;;;;;;;;"170";;"275";;"92";"195";;TRUE;;;;;"120/70-12; 12x3.00 LM-Integral";;;;;;;;"1996-12-03";"2009-01-13T00:00:00.001Z";"118";;;"2003-09-30";"Z";;;"2009-01-13";"MHD0";"40094";"NA";"61627";;"NA";
"6AA107";"Motorrad";"0";"1998-01-28";"60";;;"3265";"APRILIA";"Pegaso 650";"ML01";;;"ZD4ML01..........";;FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"unter Sitz, vorn auf Werkzeugkasten";"auf Lenkkopf";;"2";"2";;"m5";;"155";;"hydr., 1 Scheibe (gelocht) auf VR";"hydr., 1 Scheibe (gelocht) auf HR";;;"ROTAX";"655";"Monoblock";FALSE;"B";"4";"1";"652";"35,00";"6250";;"75,00";"5300";"K";"2/integriert in HS";"HS";"2/ML e11 0042";;;;;"655";;"links, unten seitlich auf  Motorgehäuse";;;"Seitenstütze";"Lenkersperre";;"2180";;"880";;"1265";;"330";;"370";;"1480";;;;;;;;;;;"275";;"380";;"146";"290";;FALSE;;;;;"v= 100/90-19, 100/90R19 57S;             2.15x19; LM-Felgen mit Stahlspeichen
h= 130/80-17, 130/80R17, 140/70-17 65S;  3.00x17; LM-Felgen mit Stahlspeichen";;"31) Kotflügelverlängerung hinten erforderlich

32) Seitenstütze mit elektrischer Sicherheitsvorrichtung
";;;;;;"1997-01-23";"1998-01-28T00:00:00.001Z";"57";;;"2003-09-30";"Z";;;"1998-01-28";"ML01";"40114";"NA";"61623";;"NA";
"6AA108";"Motorrad";"0";"1997-04-02";"61";;;"3265";"APRILIA";"Rally 50";"MDF1 oder MDFO (Liquid cooled)";;;"ZD4MDF1.........., ZD4MDF0..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"45";;"VR= hydr.,Scheibe (gelocht), Hebel rechts
HR= hydr.,Scheibe (gelocht) od.
    mech.,Trommel, Hebel links";;;;"MINARELLI";"5MA-AP/6MA-AP";"Monoblock";FALSE;"B";"2";"1";"49";"1,90";"5500";;"3,50";"4500";"K";"2/in Schalldämpfer 'B-1049' integriert";"HS";"1/B-1049";;;;;"5MA-AP/6MA-AP";;"hinten links oben auf Motor/Getriebegehäuse";;;"Zentralständer";"Lenkersperre";"keine";"1915";;"760";;"1150";;"250";;"415";;"1250";;;;;;;;;;;"170";;"274";;"87";"187";;FALSE;;;FALSE;;"v= 120/80-12 55J                  12x3.00 LM-Integral
h= 130/80-12 60J, 140/70-12 60J;  12x3.50 LM-Integral";;"05/17/21) Typ MDF1: Motor 5MA-AP = Scheibenbremsen hinten
          Typ MDFO: Motor 6MA-AP = Trommelbremse hinten

31)       Kotflügelverlängerung hinten erforderlich
";;;;;;"1997-04-02";;;;;"2003-09-30";"Z";;;"1997-04-02";"MDF1 oder MDFO (Liquid cooled)";"40138";"NA";"62011";;"NA";
"6AA109";"Motorrad";"0";"1998-07-31";"61";;;"3265";"APRILIA";"SR 50";"MZE1 od. MZEO (Liquid cooled)";;;"ZD4MZE1.........., ZD4MZE0..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"45";;"VR= hydr.,Scheibe (gelocht), Hebel rechts
HR= hydr.,Scheibe (gelocht) od.
    mech.,Trommel, Hebel links";;;;"MINARELLI";"4MA-AP/1MA-AP";"Monoblock";FALSE;"B";"2";"1";"49";"1,90";"5500";;"3,50";"4500";"K";"in Schalldämpfer integriert";"HS";"1/B-1049 mit 2 integrierten Katalysatoren";;"od. 1/B-1083 mit integriertem Katalysator";;;"4MA-AP/1MA-AP";;"hinten links oben auf Motor/Getriebegehäuse";"Abschirmblech über Auspufftopf";;"Zentralständer";"Lenkersperre";"keine";"1880";;"720";;"1160";;"240";;"390";;"1250";;;;;;;;;;;"175";;"279";;"90";"189";;FALSE;;;FALSE;;"v+h= 130/60-13 53J;  13x3.50 LM-Integral";;"05/17/21) Typ MZE1: Motor 4MA-AP = Scheibenbremsen hinten
          Typ MZEO: Motor 1MA-AP = Trommelbremse hinten

27)       Austrittsöffnung d=12mm

31)       Kotflügelverlängerung hinten erforderlich













Eintrag Fz-Ausweis:
118- Geschwindigkeit max. 45 km/h. Höchstgeschwindigkeitszeichen erforderlich
";;;;;;"1997-04-02";"1998-07-31T00:00:00.001Z";"27/30";;;"2003-09-30";"Z";;;"1998-07-31";"MZE1 od. MZEO (Liquid cooled)";"40136";"NA";"62012";;"NA";
"6AA110";"Motorrad";"0";"1998-07-31";"60";;;"3265";"APRILIA";"SR 50";"MZE1 od. MZEO (Liquid cooled)";;;"ZD4MZE1.........., ZD4MZE0..........";"285";FALSE;;;;"APRILIA SPA, I-30033 NOALE";;"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";"auf Rahmenrohr (vorn im Fussraum unter Kunststoffabdeckung)";;"2";"2";;"s";;"62";;"VR= hydr.,Scheibe (gelocht), Hebel rechts
HR= hydr.,Scheibe (gelocht) od.
    mech.,Trommel, Hebel links";;;;"MINARELLI";"O4MA-AP / O1MA-AP";"Monoblock";FALSE;"B";"2";"1";"49";"1,90";"5500";;"3,50";"4500";"K";"in Schalldämpfer integriert";"HS";"1/B-1049 mit 2 integrierten Katalysatoren";;"od. 1/B-1083 mit integriertem Katalysator";;;"O4MA-AP / O1MA-AP";;"hinten links oben auf Motor/Getriebegehäuse";"Abschirmblech über Auspufftopf";;"Zentralständer";"Lenkersperre";"keine";"1880";;"720";;"1160";;"240";;"390";;"1250";;;;;;;;;;;"175";;"279";;"90";"189";;FALSE;;;FALSE;;"v+h= 130/60-13  53 J   13x3.50 LM-Integral";;"05/17/21) Typ MZE1: Motor O4MA-AP = Scheibenbremsen hinten
          Typ MZEO: Motor O1MA-AP = Trommelbremse hinten

27)       Austrittsöffnung d=12mm

31)       Kotflügelverlängerung hinten erforderlich
";;;;;;"1997-04-02";"1998-07-31T00:00:00.001Z";"27/30";;;"2003-09-30";"Z";;;"1998-07-31";"MZE1 od. MZEO (Liquid cooled)";"40137";"NA";"61955";;"NA";
